id	location	interpretation
en_462	Homer	proper name / habitation;dwelling house;dwelling;domicile;abode;home
en_463	bounce	spring;rebound;recoil;bound;ricochet;take a hop;reverberate;resile / bounce back;get well;get over
en_468	veal	veau / feel
en_475	storm	assault / violent storm
en_476	mean	average / hateful
en_478	bragged	shoot a line;brag;gas;tout;blow;vaunt;boast;bluster;swash;gasconade / proper name
en_479	chip	give;chip in;kick in;contribute / shape;form;work;forge;mold;mould
en_480	amply	richly / A;amp;ampere
en_483	backed	retreat;crawfish;crawfish out;back away;pull back;back out;pull in one's horns;withdraw / dorsum;back
en_491	ethernet	local area network;LAN / ether;ethoxyethane;divinyl ether;vinyl ether;diethyl ether;ethyl ether
en_493	precipitous	precipitate;precipitant;overhasty;hasty / abrupt;sharp
en_496	lying	lie / lie
en_500	prayer	petition;orison;supplication / forethought;caution;precaution;care
en_501	recover	convalesce;recuperate / cover
en_503	wired	pumped;pumped up;pumped-up / telegraph;wire;cable
en_505	kilt	skirt / kill
en_507	wavelength	distance / orientation
en_508	scratched	scratch / itch;scratch;rub
en_510	run	run down;run over / peter out;run down;run out;poop out;conk out
en_520	navel	omphalus;belly button;omphalos;umbilicus;bellybutton / naval
en_523	cabinets	cabinet / cabinet
en_529	ring	sound / band
en_538	suit	fit;accommodate / suit of clothes
en_539	Maid	maiden / made
en_543	seems	appear;seem / seam
en_544	fan	device / devotee;lover;buff
en_548	lichen	fungus / liking
en_549	Russian	Slavic language;Slavonic language;Slavic;Slavonic / rushing;haste;hurry;rush
en_550	ties	tie-up;tie;affiliation;association / tie
en_557	meanly	nastily / mean;mean value
en_564	shot	shooting / crack
en_565	striking	outstanding;prominent;salient;spectacular / ten-strike;strike
en_566	hash	dish / retrograde;rehash;hash over
en_569	nailing	nail / ace;nail;sail through;breeze through;pass with flying colors;sweep through
en_573	lyes	lye / prevarication;lie
en_579	hostel	auberge;youth hostel;student lodging;inn;lodge;hostelry / hostile
en_580	graph	graphical record;chart;graphical recording / graft;transplant
en_581	incensed	incense / outraged;umbrageous;indignant
en_583	wade	walk / fade out;fade;languish;dissolve;fade away;wither
en_585	revolution	gyration;rotation / resolution
en_591	work	work out;exercise / work out
en_594	web	WWW;World Wide Web / physical object;object
en_595	add	make sense;add up / sum up;tot up;add together;total;tote up;summate;tot;sum;tally;add up
en_597	Pray	commune / pay;pay up;ante up
en_605	pail	bucket / pallid;wan;sick;pale
en_613	multiply	cipher;compute;figure;work out;cypher;calculate;reckon / reproduce;procreate
en_621	brake	constraint;restraint / respite;recess;break;interruption;intermission;time out;pause;suspension
en_624	functions	mapping;single-valued function;function;map;mathematical function / role;function;part;office
en_627	rooting	root / root
en_634	wave	moving ridge / gush;rave
en_635	dough	intermixture;mixture;concoction / bread;cabbage;lucre;dinero;simoleons;scratch;lettuce;boodle;lolly;gelt;moolah;shekels;loot;clams;pelf;kale;sugar;wampum
en_638	bypass	shunt / go around;get around;short-circuit
en_646	lessor	lease giver / lesser;less
en_652	waste	waste matter;waste product;waste material / rot
en_653	clubs	guild;society;club;social club;gild;lodge;order / club
en_654	perils	jeopardy;hazard;endangerment;peril;risk / pearl
en_655	frosty	frigid;wintry;frozen;icy;glacial / rimed;rimy
en_661	dough	intermixture;mixture;concoction / bread;cabbage;lucre;dinero;simoleons;scratch;lettuce;boodle;lolly;gelt;moolah;shekels;loot;clams;pelf;kale;sugar;wampum
en_665	brush	implement / contact
en_666	lute	chordophone / plunder;loot;dirty money;swag;pillage;prize;booty
en_668	whirled	swirl;twiddle;spin;twirl;twist;twisting;whirl / world;world-wide;planetary;worldwide;global
en_672	leered	leer / proper name
en_679	ticks	ticking;tick / tick
en_681	funny	comical;risible;mirthful;amusing;comic;laughable / queer;curious;peculiar;rum;rummy;singular;odd
en_685	cultured	culture / polite;cultivated;civilized;genteel;civilised
en_692	mood	humor;temper;humour / low;moo
en_693	pail	bucket / blench;blanch;pale
en_697	libel	calumniation;traducement;defamation;calumny;obloquy;hatchet job / apt;liable
en_698	mold	determine;shape;regulate;influence / mildew;mould
en_700	flop	fizzle;bust / give;descend;give way;come down;cave in;fall;break;founder;go down;collapse;fall in
en_706	inn	auberge;hostel;lodge;hostelry / in
en_713	oily	oleaginous;unctuous;soapy;buttery;fulsome;smarmy / early
en_715	soar	soar upwards;surge;zoom;soar up / tender;mad;raw;sore;sensitive;huffy
en_718	trash	scrap;rubbish / wish-wash;tripe;trumpery;codswallop;rubbish;applesauce;folderol
en_721	draw	delineate;trace;line;describe / elicit;enkindle;provoke;raise;arouse;fire;kindle;evoke
en_732	will	aim;purpose;design;intent;intention / testament
en_734	bovine	bovid / godly;providential;divine
en_737	reign	historic period;age / rain;rainfall
en_742	fudge	confect;candy / falsify;cook;wangle;misrepresent;fake;manipulate
en_743	loaded	sloshed;pie-eyed;blind drunk;smashed;soaked;stiff;pissed;squiffy;besotted;wet;plastered;soused;sozzled;blotto;cockeyed;tight;fuddled;pixilated;crocked;slopped / ladened;laden
en_746	suite	rooms / gratifying;sweet
en_752	tips	tip / backsheesh;baksheesh;bakshish;gratuity;bakshis;tip;pourboire
en_753	Holly	angiospermous tree;flowering tree / proper name
en_755	ripe	mature / advanced
en_756	corneas	cornea / corner
en_759	power	force / electricity;electrical energy
en_774	gleam	lambency;gleaming;glow / proper name
en_777	accounting	explanation;account / method of accounting;account statement;accounting system;account
en_779	broken	fail;die;break down;go bad;give way;break;conk out;go;give out;collapse / break down;take apart;analyze;dissect;analyse
en_787	bill	invoice;account / beak;nib;pecker;neb
en_791	resistance	electric resistance;ohmic resistance;electrical resistance;impedance;resistivity / opposition
en_793	pupils	student;educatee;pupil / pupil
en_795	mugged	mug / mug
en_803	Mark	tag;label / proper name
en_807	sea	body of water;water / see;determine;ascertain;watch;learn;check;find out
en_813	chattily	volubly / proper name
en_818	navel	omphalus;belly button;omphalos;umbilicus;bellybutton / naval
en_822	lame	feeble / halt;game;crippled;halting;gimpy
en_825	rites	rite;religious rite / right
en_826	Russell	proper name / rustle;whisper;rustling;whispering
en_838	service	work / divine service;religious service
en_839	urn	vase / earn;garner;win
en_840	stalling	drag one's feet;dillydally;procrastinate;drag one's heels;stall;shillyshally;dilly-dally / cubicle;stall;kiosk;booth
en_848	flatly	unconditionally;categorically / flat
en_853	bloomers	bloomer / pants;drawers;knickers
en_855	attraction	attractive force / attractiveness
en_857	mothballed	mothball / camphor ball;mothball
en_862	turn	crook;bend;twist / good turn
en_868	Caerphilly	proper name / carefully;cautiously
en_877	souled	psyche;soul / sell
en_880	odds	conflicting;contradictory;self-contradictory;at odds / uneven;odd
en_883	goal	end / score
en_892	turn	turning / turn of events;twist
en_894	crude	gross;vulgar;earthy / crude oil;oil;rock oil;petroleum;fossil oil
en_896	cut	cut of meat / step;gradation
en_897	coached	coach;train / coach
en_898	trip	journeying;journey / hallucination
en_899	heavily	heavy / heavy
en_908	white	snowy / flop;right
en_910	Note	written account;written record / tone;musical note
en_919	spin	rendition;interpretation;rendering / twirl;twist;twisting;whirl
en_927	change	alteration;modification / coin
en_939	cord	displacement unit;capacity measure;cubic content unit;cubic measure;capacity unit;cubage unit;cubature unit;volume unit / chord
en_941	migrane	migraine;hemicrania;megrim;sick headache / migrate
en_944	problems	problem / problem;job
en_950	leaf	leafage;foliage / riffle;riff;thumb;flick;flip
en_952	electrified	electrify / electrify
en_960	blowout	gala affair;jamboree;gala / malfunction
en_975	appropriately	fitly;properly;duly;fittingly;suitably;befittingly / appropriate;conquer;seize;capture
en_977	stank	reek;stink / sink;go down;settle;go under
en_979	Smaug	proper name / self-satisfied;smug
en_980	foot	animal foot / ft
en_981	rumor	hearsay;rumour / humor;humour;sense of humour;sense of humor
en_982	nailed	nail / ace;nail;sail through;breeze through;pass with flying colors;sweep through
en_984	scents	olfactory property;scent;odor;smell;odour;aroma / good sense;mother wit;gumption;sense;common sense;horse sense
en_993	braking	brake / break;recrudesce;develop
en_994	yeast	barm / least
en_995	domain	area;field;sphere;orbit;arena / domain of a function
en_996	Bea	proper name / bee
en_1002	premises	site;land site / premise;assumption;premiss
en_1008	psalms	Psalm / thenar;palm
en_1009	Rabbit	coney;cony / speedy;rapid
en_1015	bar	saloon;taproom;ginmill;barroom / measure
en_1016	kurds	Kurd / curd
en_1017	cutting	stinging;edged / cut
en_1018	breeze	gentle wind;air;zephyr / duck soup;walkover;piece of cake;cinch;pushover;picnic;child's play;snap
en_1020	reservations	mental reservation;arriere pensee;reservation / booking;reservation
en_1027	Son	Word;Logos / sunlight;sunshine;sun
en_1029	disappear	go away;vanish / go away;vanish
en_1031	Brooks	brook;creek / proper name
en_1032	bluntly	bluffly;flat out;brusquely;roundly / blunt
en_1037	Wilde	Oscar Fingal O'Flahertie Wills Wilde;Oscar Wilde / fantastic;wild
en_1039	Power	powerfulness / electricity;electrical energy
en_1040	maneuver	head;channelise;manoeuvre;direct;steer;channelize;manoeuver;point;guide / manure
en_1042	shoots	shoot / shoot
en_1044	beady	buttonlike;buttony;beadlike / gemmed;jeweled;sequined;spangled;jewelled;spangly
en_1045	bust	fizzle;flop / raid
en_1050	orifice	opening;porta / business office;office
en_1052	State	province / attribute
en_1061	Gene	cistron;factor / proper name
en_1065	sirius	Canicula;Dog Star;Sothis / serious
en_1067	touch	touching / soupcon;pinch;tinge;hint;speck;mite;jot
en_1070	drive	driving / physiological condition;physiological state;physical condition
en_1073	ERA	epoch / earned run average
en_1074	Backups	backup / backup;computer backup
en_1075	frieze	architectural ornament / freeze;frost
en_1077	exhausted	wash up;tucker;exhaust;beat;tucker out / exhaust fumes;exhaust;fumes
en_1078	stanza	textual matter;text / stand
en_1083	pipe	quieten;hush;pipe down;quiet down;quiet;quiesce / piping;pipage
en_1087	finally	eventually / mulct;fine;amercement
en_1088	gauze	gauze bandage / reason;grounds;cause
en_1093	latte	caffe latte / belated;late;tardy
en_1095	underworld	social class;class;socio-economic class;stratum / infernal region;netherworld;Scheol;Hades;Hell
en_1098	rocked	rock;sway / rock;rock-and-roll;rock 'n' roll;rock music;rock and roll;rock'n'roll
en_1101	tempo	pacing / pique;temper;irritation
en_1103	Engels	Friedrich Engels / slant;angle
en_1104	hole	hollow / whole
en_1105	stirrup	stirrup iron / incite;instigate;set off;stir up
en_1109	makeover	beauty treatment / reconstruction
en_1111	spirits	spirit / disembodied spirit;spirit
en_1114	adze	adz / add
en_1116	redaction	editing / diminution;step-down;reduction;decrease
en_1117	dam	dike;dyke / damn;infernal;goddamn;goddamned;damned;deuced;blame;blessed;darned;goddam;blasted;blamed
en_1118	summed	sum up;resume;summarise;summarize / sum up;add;tot up;add together;total;tote up;summate;tot;sum;tally;add up
en_1128	bucks	buck;one dollar bill;dollar bill;clam;dollar / hitch;buck;jerk
en_1131	succor	relief;ministration;succour / patsy;fool;chump;fall guy;sucker;gull;mark;mug;soft touch
en_1134	space	area;country;amorphous shape;location / outer space
en_1142	Ira	individual retirement account / proper name
en_1143	meteor	meteoroid / meaty
en_1148	buzz	buzz off;bugger off;fuck off;get;scram / fly;wing
en_1150	yearnings	yearning;hungriness;longing / earnings;pay;remuneration;salary;wage
en_1152	milk	draw;take out / tap;exploit
en_1155	down	depressed / dispirited;blue;low;low-spirited;downcast;gloomy;depressed;down in the mouth;grim;downhearted
en_1159	piously	devoutly / pi
en_1161	assay	study;examine;analyze;analyse;canvass / tell;say;state
en_1162	cuts	cut / cut;cutting off;cutting
en_1168	ignited	ignite;light / heat;ignite;wake;fire up;stir up;inflame
en_1174	recluse	reclusive;withdrawn / heady;rash;foolhardy;reckless;heedless
en_1175	serving	dish up;dish out;dish;serve;serve up / serve
en_1178	vision	sight;visual sense;visual modality / imaginativeness;imagination
en_1189	chills	calm;simmer down;cool it;settle down;cool off;chill out;calm down / cool down;cool;chill
en_1191	splice	lap joint;splicing / piece;slice
en_1194	chicken	bow out;back off;pull out;chicken out;back down / poulet;volaille
en_1197	devices	inclination;disposition;tendency / device
en_1198	reaction	chemical reaction / response
en_1202	play	drama;dramatic play / bid
en_1205	crowed	crow / crow
en_1208	pail	bucket / pallid;pale
en_1211	Patsy	fool;chump;fall guy;sucker;gull;mark;mug;soft touch / proper name
en_1217	well	excavation / good
en_1233	tapered	taper off / taper;wick
en_1234	Don	gentleman / break of the day;cockcrow;sunrise;daybreak;dayspring;first light;break of day;dawn;dawning;aurora;sunup;morning
en_1236	Volts	volt;V / waltz;valse
en_1241	temple	house of prayer;house of worship;place of worship;house of God / surliness;irritability;pique;peevishness;temper;biliousness;pettishness;irritation;snappishness
en_1245	potty	chamberpot;thunder mug / smitten;in love;taken with;enamored;soft on;infatuated
en_1246	problems	problem / problem;trouble
en_1252	serves	function;serve well;serve / wait on;attend;assist;serve;attend to
en_1254	reception	party / broadcasting
en_1267	callous	indurate;pachydermatous / Maria Meneghini Callas;Callas;Maria Callas
en_1272	attached	tie;bind;attach;bond / attach
en_1273	Neal	proper name / kneel;kneeling
en_1283	contact	interaction / tangency
en_1289	forge	hammer / move on;pass on;progress;go on;march on;advance
en_1292	gneiss	metamorphic rock / nice
en_1293	wheat	wheat berry / wait;hold off;hold back
en_1295	congealed	jelled;jellied / concealed
en_1300	corps	army corps / kernel;essence;substance;center;nitty-gritty;centre;sum;heart;marrow;core;heart and soul;gist;inwardness;meat;pith;nub
en_1301	trail	cartroad;cart track;track / shack
en_1306	Securities	security / security;surety
en_1310	maine	Me.;ME;Pine Tree State / principal;chief;main;primary;master
en_1312	file	smoothen;smooth / file away
en_1316	immersed	swallow;bury;immerse;eat up;swallow up / engross;plunge;steep;immerse;engulf;soak up;absorb
en_1324	cover	blanket / hiding;concealing;concealment
en_1327	foiled	foil / queer;frustrate;thwart;cross;bilk;baffle;spoil;foil;scotch
en_1329	toque	lid;chapeau;hat / toke
en_1335	licked	work out;puzzle out;work;solve;lick;figure out / lap up;lick;lap
en_1339	suspended	suspend / suspend
en_1340	blew	blow / fuck up;flub;bobble;mess up;louse up;bollocks up;bodge;fumble;ball up;bollocks;mishandle;botch up;botch;bollix;screw up;muck up;bungle;muff;blow;spoil;foul up;bumble;fluff;bollix up
en_1344	fleece	wool / flea
en_1348	relatively	comparatively / relativity theory;relativity;theory of relativity;Einstein's theory of relativity
en_1349	spot	topographic point;place / speckle;patch;dapple;maculation;fleck
en_1350	mute	tongueless;silent;wordless;unspoken;dumb / moot
en_1352	maid	maiden / made;create;produce;make
en_1353	flue	conduit / influenza;grippe;flu
en_1356	Les	proper name / less;little
en_1358	candied	sugar-coated / candid
en_1359	foiled	queer;frustrate;thwart;cross;bilk;baffle;spoil;foil;scotch / foil
en_1360	byte	computer memory unit / bite;chomp
en_1363	Russell	proper name / rustle;lift
en_1365	descent	lineage;pedigree;line of descent;stemma;ancestry;parentage;line;blood line;origin;bloodline;stock;blood / acceptable;satisfactory;decent
en_1370	runs	feed;course;run;flow / be given;tend;lean;run;incline
en_1376	flap	tizzy;pother;dither;fuss / covering
en_1377	heart	mettle;nerve;spunk / ticker;pump
en_1379	glowing	burn;glow;radiance / radiate;beam;glow;shine
en_1382	interest	involvement / fixed costs;fixed cost;fixed charge
en_1393	stir	move;displace / budge;shift;agitate
en_1396	outlet	wall plug;electric receptacle;wall socket;electric outlet;electrical outlet / vent;release
en_1398	pass	spend / excrete;eliminate;egest
en_1399	junk	debris;rubble;dust;detritus / spring;bound;leap;jump
en_1403	spectacles	spectacle / glasses;specs;eyeglasses
en_1404	drawl	speech pattern;accent / pull;pull out;get out;draw;take out
en_1407	sighs	sigh;suspiration / size
en_1408	clause	article / claw
en_1411	bee	hymenopter;hymenopteron;hymenopteran;hymenopterous insect / B;b
en_1413	ceiling	upper surface / sealing;waterproofing
en_1418	plastered	sloshed;pie-eyed;blind drunk;smashed;soaked;stiff;pissed;squiffy;besotted;wet;soused;sozzled;blotto;cockeyed;tight;fuddled;loaded;pixilated;crocked;slopped / plaster
en_1419	tipped	topple;tumble;tip / bung;fee;tip
en_1424	mutton	mouton / cipher;zip;nada;goose egg;nothing;zippo;zilch;nil;zero;aught;naught;null;cypher;nix
en_1427	billed	charge;bill / build;construct;make
en_1428	incensed	thurify;cense;incense / outraged;umbrageous;indignant
en_1431	strain	stress / filter;filter out;sift;filtrate;separate out;sieve
en_1432	pondered	reflect;chew over;contemplate;think over;excogitate;muse;ruminate;speculate;mull;meditate;ponder;mull over / pond;pool
en_1438	clogged	patten;geta;sabot;clog / congest;choke;foul;clog up;choke off;back up;choked;clog
en_1444	Outlook	prospect;expectation / proper name
en_1450	fertilize	feed;fertilise / inseminate;fertilise;fecundate
en_1454	goal	end / score
en_1455	suer	petitioner / sewer;sewerage;cloaca
en_1463	Hz	cycles/second;cycle per second;hertz;cps;cycle / suffer;ache;hurt;smart
en_1465	figures	figure;shape;soma;anatomy;physique;human body;chassis;form;build;bod;physical body;material body;flesh;frame / figure
en_1467	release	merchandise;product;ware / freeing;liberation
en_1470	margarine	oleomargarine;margarin;marge;oleo / margin;leeway;allowance;tolerance
en_1473	milked	milk / milk
en_1476	ordure	stool;dejection;faeces;fecal matter;faecal matter;BM;feces / ordering;ordination;order
en_1483	shoot	shoot for;aspire;draw a bead on;aim / hit;pip;blast
en_1484	waved	beckon;wave / undulation;wave
en_1494	cabinets	cabinet / cabinet
en_1496	judgment	judgement;judicial decision;legal opinion;opinion / sound judgment;judgement;perspicacity;discernment;sound judgement;sagaciousness;sagacity
en_1498	identities	identity;individuality;personal identity / identity element;identity;identity operator
en_1507	butte	hill / ass;prat;behind;backside;tooshie;keister;can;rear;fundament;rump;fanny;derriere;hind end;hindquarters;tush;tail;bottom;rear end;posterior;stern;arse;seat;nates;buns;tail end;buttocks;bum;butt
en_1519	count	counting;numeration;reckoning;enumeration;tally / Lord;nobleman;noble
en_1521	Dustin	proper name / dust
en_1523	joints	joint;articulatio;articulation / joint
en_1524	squares	square;foursquare / square;lame
en_1525	flue	conduit / influenza;grippe;flu
en_1526	heart	tenderness;fondness;affectionateness;affection;warmness;philia;warmheartedness / art;artistry;prowess
en_1532	weight	physical property / wait;waiting
en_1544	Bud	blossom;sprout;bloom;flower / proper name
en_1551	fly	dipteron;two-winged insects;dipteran;dipterous insect / fly front
en_1556	wreckoning	wreck;bust up;wrack;crash / see;view;regard;count;consider;reckon
en_1558	calves	calf / calf;sura
en_1559	turns	turn;good turn / turning;turn
en_1560	callously	unfeelingly / callus;callosity
en_1561	Jerky	jerk;jerked meat / choppy
en_1562	descent	lineage;pedigree;line of descent;stemma;ancestry;parentage;line;blood line;origin;bloodline;stock;blood / acceptable;satisfactory;decent
en_1565	bough	limb;tree branch / curtain call;bow
en_1574	testy	fractious;peevish;techy;irritable;pettish;tetchy;cranky;peckish;scratchy;nettlesome;petulant / ball;egg;ballock;testis;testicle;bollock;orchis;nut
en_1576	dye	colour;color;discolour;discolor / pass away;choke;die;perish;croak;pass;conk;go;kick the bucket;drop dead;exit;snuff it;expire;cash in one's chips;buy the farm;give-up the ghost;decease;pop off
en_1583	resonate	vibrate / come across
en_1584	pedal	bicycle;wheel;cycle;bike / vend;peddle;monger;pitch;hawk;huckster
en_1585	makeover	beauty treatment / reconstruction
en_1588	alledgedly	allegedly / ledge;shelf
en_1590	plane	airplane;aeroplane / stage;level;degree;point
en_1601	blustered	bluster / bluster;swagger;swash
en_1602	heart	by memory;by heart / plane figure;two-dimensional figure
en_1606	umbrella	canopy / uniting;union;unification;conjugation;jointure
en_1608	hollered	holler out;squawk;holler;gripe;bitch;bellyache;beef;grouse;crab / hollow;empty;vacuous
en_1614	interest	conflict of interest / fixed costs;fixed cost;fixed charge
en_1619	Jumping	spring;bound;leap;jump / leap;jump
en_1621	transparent	crystal clear;pellucid;crystalline;limpid;lucid / parent
en_1626	lint	fiber;fibre / loan;lend
en_1635	boring	drilling;oil production / ho-hum;deadening;slow;irksome;wearisome;tiresome;tedious;dull
en_1638	ring	band / platform
en_1639	momentum	impulse / physical property
en_1642	tips	backsheesh;baksheesh;bakshish;gratuity;bakshis;tip;pourboire / tip
en_1648	rhyme	verse / criminal offense;criminal offence;crime;law-breaking
en_1658	took	lift off;take off / get off the ground;take off
en_1666	credit	recognition / assets
en_1667	lamas	lama / llama
en_1672	capitol	government building / capital
