id_en	text_en	text_clean	manual_location	manual_type	manual_alternative	generated_location	generated_type	generated_alternative	phrase_en
en_1210	The groundskeeper at a large cemetery was important because he had 5000 people under him.	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	under	under	homographic	beneath	people under him
en_1211	A little boy called his father who made balloons 'pop'.	A little boy called his father who made balloons 'pop'.	pop	homographic	pop	pop	homophonic	pop	pop
en_1223	Neuter your dog - an ounce of prevention is better than a pound of curs.	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	cures	curs	homophonic	cures	an ounce of prevention is better than a pound of
en_1227	"He recommended the restaurant to me, and said he had no reservations."	"He recommended the restaurant to me, and said he had no reservations."	reservations	homographic	reservations	reservations	homographic	doubts	no reservations
en_1231	The mortician was late for dinner because he was buried in his work.	The mortician was late for dinner because he was buried in his work.	buried	homographic	buried	buried	homographic	overwhelmed	buried in his work
en_1232	"OLD ENUMERATORS never die, they just lose their census"	"Old enumerators never die, they just lose their census"	census	homophonic	senses	census	homophonic	senses	lose their senses
en_1233	"The class took a field trip to a meat processing plant, but what they saw was just offal."	"The class took a field trip to a meat processing plant, but what they saw was just offal."	offal	homophonic	awful	offal	homophonic	awful	just awful
en_1248	"OLD PILOTS never die, they just get more turbulent."	"Old pilots never die, they just get more turbulent."	turbulent	homographic	turbulent	turbulent	homographic	unsettled	more turbulent
en_1249	''Use your own toothbrush!'' Tom bristled.	Use your own toothbrush! he bristled.	bristled	homographic	bristled	bristled	homographic	reacted	bristle at
en_1252	"My wife really likes to make pottery, but to me it's just kiln time."	"My wife really likes to make pottery, but to me it's just kiln time."	kiln	homophonic	killing	kiln	homophonic	killing	killing time
en_1254	"''I won't tell you anything about my salivary glands,'' said Tom secretively."	"I won't tell you anything about my salivary glands, he said secretively."	secretively	homophonic	secrete	secretively	homophonic	secretory	tell you anything
en_1256	I might study something at a university that someone once told me about - there is a degree of ambiguity there.	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	homographic	degree	degree	homographic	diploma	degree of ambiguity
en_1262	People have a happy time vacationing in Ireland because they are walking on Eire.	People have a happy time vacationing in Ireland because they are walking on Eire.	eire	homophonic	air	Eire	homophonic	air	walking on air
en_1269	''Who's your favorite operatic tenor?'' Tom asked placidly.	Who's your favorite operatic tenor? he asked placidly.	placidly	homophonic	placido	Who's	homophonic	whose	Who is your favorite
en_1270	The salt said 'hi' to the pepper. It was seasonings greetings.	The salt said 'hi' to the pepper. It was seasonings greetings.	seasonings	homophonic	seasons	seasonings	homophonic	season's	season's greetings
en_1271	The book about Teflon contained no frictional characters.	The book about Teflon contained no frictional characters.	frictional	homophonic	fictional	frictional	homophonic	fictional	frictional characters
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	homographic	opposed	fingers	homographic	people	willing to cooperate
en_1279	If you spend too much time in the coffee shop you'll be latte for work.	If you spend too much time in the coffee shop you'll be latte for work.	latte	homophonic	late	latte	homophonic	late	late for work
en_1282	"In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon."	"In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon."	galleon	homophonic	gallon	galleon	homophonic	gallon	miles to the gallon
en_1283	Some resist having the'flu jab but it's quite innocuous.	Some resist having the'flu jab but it's quite innocuous.	innocuous	homophonic	inoculate	jab	homographic	jab	jab at
en_1294	"''Pretend we were in the days before railways,'' Tom coached."	"Pretend we were in the days before railways, he coached."	coached	homophonic	coach	coached	homophonic	carried	he coached
en_1303	OLD PRINCIPALS never die they just lose their faculties.	Old principals never die they just lose their faculties.	faculties	homographic	faculties	faculties	homographic	abilities	lose their faculties
en_1305	"OLD RAILROADERS never die, they just derail."	"Old railroaders never die, they just derail."	derail	homographic	derail	derail	homographic	die	never die
en_1310	He bought a plate with four corners so he could have a square meal.	He bought a plate with four corners so he could have a square meal.	square	homographic	square	square	homographic	satisfying	square meal
en_1330	"Because they moved into an apartment, they didn't need to cut the grass any mow."	"Because they moved into an apartment, they didn't need to cut the grass any mow."	mow	homophonic	more	mow	homophonic	more	cut the grass any more
en_1335	"Gravity, it's always putting everyone down."	"Gravity, it's always putting everyone down."	putting	homographic	putting	down	homographic	sad	putting everyone down
en_1345	"The scorpion said to the desert, 'You know, our conversations are always so dry.'"	"The scorpion said to the desert, 'You know, our conversations are always so dry.'"	dry	homographic	dry	dry	homographic	boring	dry conversation
en_1347	A busy barber is quite harried.	A busy barber is quite harried.	harried	homophonic	hairy	harried	homophonic	hairy	busy barber
en_1349	The gunman took a shot at new opportunities.	The gunman took a shot at new opportunities.	shot	homographic	shot	shot	homographic	attempt	took a shot
en_135	The cobbler was asked how many shoes he had soled by a well	The cobbler was asked how many shoes he had soled by a well	soled	homophonic	sold	soled	homophonic	sold	by a well
en_1350	Legends tell us that a weakness of the carnivorous vampire is a steak.	Legends tell us that a weakness of the carnivorous vampire is a steak.	steak	homophonic	stake	steak	homophonic	stake	weakness of the vampire
en_1354	To become a pilot requires a good altitude.	To become a pilot requires a good altitude.	altitude	homophonic	attitude	altitude	homophonic	attitude	good attitude
en_1355	"''I teach at a university,'' Tom professed."	"I teach at a university, he professed."	professed	homophonic	professor	professed	homophonic	professor	he professed
en_136	When there's a sale on tennis balls it's first come first serve.	When there's a sale on tennis balls it's first come first serve.	serve	homographic	serve	serve	homographic	assist	first come first serve
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	homographic	shocking	shocking	homographic	surprising	shocking failure
en_1364	"From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident."	"From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident."	occident	homophonic	accident	occident	homophonic	accident	purely by accident
en_1368	When making butter there is little margarine for error.	When making butter there is little margarine for error.	margarine	homophonic	margin	margarine	homophonic	margin	margin for error
en_1370	"OLD CHEMISTS never die, they just stop reacting."	"Old chemists never die, they just stop reacting."	reacting	homographic	reacting	reacting	homographic	responding	"never die, they just"
en_1373	The model who joined the air force was a bombshell.	The model who joined the air force was a bombshell.	bombshell	homographic	bombshell	bombshell	homographic	stunner	was a bombshell
en_1376	Abstinence makes the heart grow fonder	Abstinence makes the heart grow fonder	abstinence	homophonic	absence 	Abstinence	homophonic	absence	absence makes the heart grow fonder
en_1378	"It's not that the man did not know how to juggle, he just didn't have the balls to do it."	"It's not that the man did not know how to juggle, he just didn't have the balls to do it."	balls	homographic	balls	balls	homographic	courage	have the balls
en_1382	Two coin collectors got together for old dimes sake.	Two coin collectors got together for old dimes sake.	dimes	homophonic	times	dimes	homophonic	time	for old time's sake
en_1383	"''It's an actual parameter, not a formal parameter,'' was Tom's argument."	"It's an actual parameter, not a formal parameter, was his argument."	argument	homographic	argument	argument	homophonic	argument	not a formal parameter
en_1386	"''3. 14159265,'' Tom said piously."	"3.14159265, he said piously."	piously	homophonic	pi	piously	homophonic	pi	he said piously
en_1388	An astronomy column in the newspaper would have a lot of space devoted to it.	An astronomy column in the newspaper would have a lot of space devoted to it.	space	homographic	space	space	homographic	unoccupied	a lot of space
en_1399	"OLD SHOEMAKERS never die, they are just given the boot."	"Old shoemakers never die, they are just given the boot."	boot	homographic	boot	boot	homographic	dismissed	given the boot
en_14	One of these new shoes isn't right.	One of these new shoes isn't right.	right	homographic	right	right	homophonic	rite	isn't right
en_140	The postmen get together for mail bonding.	The postmen get together for mail bonding.	mail	homophonic	male	bonding	homographic	bond	mail bonding
en_1400	"''Let's take a vacation in the south of France,'' said Tom nicely."	"Let's take a vacation in the south of France, he said nicely."	nicely	homophonic	Nice	nicely	homophonic	nicely	said nicely
en_1404	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.	pullet	homophonic	bullet	pullet	homophonic	bullet	faster than a speeding bullet
en_1415	"Even though Catholics in space are weightless, do they have mass?"	"Even though Catholics in space are weightless, do they have mass?"	mass	homographic	mass	mass	homographic	Mass	have mass
en_1418	"OLD TELEPHONE OPERATORS never die, they just become disconnected."	"Old telephone operators never die, they just become disconnected."	disconnected	homographic	disconnected	disconnected	homographic	die	become disconnected
en_1419	A guy became so good with a chainsaw that he was promoted to branch manager.	A guy became so good with a chainsaw that he was promoted to branch manager.	branch	homographic	branch	branch	homographic	division	branch manager
en_1421	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'	iris	homophonic	irish	iris	homophonic	Irish	luck of the Irish
en_1427	Old math profs never die -- they just use strange expressions.	Old math profs never die. They just use strange expressions.	expressions	homographic	expressions	expressions	homographic	equations	use strange expressions
en_143	Q: River Ravi flows in which state? A: Liquid.	Q: River Ravi flows in which state? A: Liquid.	state	homographic	state	state	homographic	condition	state of matter
en_1432	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.	torrance	homophonic	torrents	Torrance	homophonic	torrents	came down in torrents
en_1436	"Wow, thanks for the tea. I'm glad I got to Chai it."	"Wow, thanks for the tea. I'm glad I got to Chai it."	Chai	homophonic	try	Chai	homophonic	try	got to try it
en_1440	"After he invented the light bulb, people saw Edison in a new light."	"After he invented the light bulb, people saw Edison in a new light."	light	homographic	light	light	homographic	understanding	saw in a new light
en_1446	A bee keeper will sell you honey with swarm wishes.	A bee keeper will sell you honey with swarm wishes.	swarm	homophonic	warm	swarm	homophonic	warm	warm wishes
en_1448	An architect knows how to make a long storey short.	An architect knows how to make a long storey short.	storey	homophonic	story	storey	homophonic	story	make a long story short
en_1449	"OLD ELECTRICIANS never die, they just can't make connections"	"Old electricians never die, they just can't make connections"	connections	homographic	connections	connections	homographic	relationships	make connections
en_1464	"''Boy, that's a bright star,'' said Tom seriously."	"Boy, that's a bright star, he said seriously."	seriously	homophonic	sirius	star	homographic	celebrity	bright star
en_1467	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.	mine	homophonic	mind	mine	homophonic	mind	springs to mind
en_1468	Freud could barely repress his excitement.	Freud could barely repress his excitement.	repress	homophonic	suppress	repress	homophonic	express	repress his excitement
en_1475	"OLD MINERS never die, they just lose their veins."	"Old miners never die, they just lose their veins."	veins	homophonic	vains	veins	homophonic	vains	lose their veins
en_1485	"If you think that mutt made strange sounds as a pup, you should hear him grown."	"If you think that mutt made strange sounds as a pup, you should hear him grown."	grown	homophonic	groan	grown	homophonic	groan	hear him grown
en_149	"If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief."	"If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief."	relief	homographic	relief	map	homophonic	mop	breathe heavily on
en_1494	Some cardiologists are heartless.	Some cardiologists are heartless.	heartless	homographic	heartless	heartless	homographic	compassionless	are heartless
en_1509	The triangular computer monitor business was just a big pyramid screen.	The triangular computer monitor business was just a big pyramid screen.	screen	homophonic	scheme	pyramid	homophonic	pyramid scheme	pyramid screen
en_1515	"OLD PICKPOCKETS never die, they just steal away."	"Old pickpockets never die, they just steal away."	steal	homographic	steal	steal	homophonic	sneak	steal away
en_1524	OLD KEY PUNCH OPERATORS never die they just punch out.	Old key punch operators never die they just punch out.	punch	homographic	punch	punch	homographic	leave	punch out
en_1528	Once ice cream was invented the problem was licked.	Once ice cream was invented the problem was licked.	licked	homographic	licked	licked	homographic	solved	the problem was licked
en_1531	"''I'm mentioned in this book,'' said Tom contentedly."	"I'm mentioned in this book, he said contentedly."	contentedly	homophonic	content	contentedly	homophonic	content	mentioned in this book
en_1533	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.	puzzle	homographic	puzzle	puzzle	homographic	mystery	that's a puzzle to me
en_1534	The thief broke into the music store and stole the lute.	The thief broke into the music store and stole the lute.	lute	homophonic	loot	lute	homophonic	loot	stole the lute
en_1536	The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer.	The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer.	jumped	homographic	jumped	jumped	homographic	leaped	jumped on the offer
en_1539	Chickens can give some people a foul rash.	Chickens can give some people a foul rash.	foul	homophonic	fowl	foul	homophonic	fowl	foul rash
en_1547	Herbivores come in browns and graze.	Herbivores come in browns and graze.	graze	homophonic	greys	browns	homophonic	brownies	come in
en_1548	I wanted to bring a penguin home but my parents said that wasn't going to fly.	I wanted to bring a penguin home but my parents said that wasn't going to fly.	fly	homographic	fly	fly	homographic	succeed	wasn't going to fly
en_1551	Some mathematicians are reluctant to cosine a loan.	Some mathematicians are reluctant to cosine a loan.	cosine	homophonic	cosign	cosine	homophonic	co-sign	cosine a loan
en_1553	A parade of horses went down Mane street.	A parade of horses went down Mane street.	mane	homophonic	main	Mane	homophonic	Main	Mane street
en_156	"A new type of broom came out, it is sweeping the nation."	"A new type of broom came out, it is sweeping the nation."	sweeping	homographic	sweeping	sweeping	homographic	spreading	sweeping the nation
en_157	My name is Bea. I'm in the honey business..	My name is Bea. I'm in the honey business..	bea	homophonic	bee	Bea	homophonic	bee	
en_1572	"I always believed my body was a prison for me. I was right, in biology I learnt they were made of cells."	"I always believed my body was a prison for me. I was right, in biology I learnt they were made of cells."	cells	homographic	cells	cells	homographic	prison	body was a prison
en_1573	"During his lifetime, the composer Bach was a noted success."	"During his lifetime, the composer Bach was a noted success."	noted	homographic	noted	noted	homographic	famous	noted success
en_1575	"''I've mailed the letter,'' Tom assented."	"I've mailed the letter, he assented."	assented	homophonic	sent	assented	homophonic	ascended	mailed the letter
en_1579	When a priest makes a mistake in church it's a clerical error.	When a priest makes a mistake in church it's a clerical error.	clerical	homographic	clerical	clerical	homographic	office-related	clerical error
en_1585	Two cooks had a contest and the heat was on.	Two cooks had a contest and the heat was on.	heat	homographic	heat	heat	homographic	pressure	the heat was on
en_1587	Careless stair dancers are heading for a heavy landing.	Careless stair dancers are heading for a heavy landing.	landing	homographic	landing	landing	homographic	floor	heavy landing
en_1598	A crow in a telephone booth had no money so he had to make a collect caw.	A crow in a telephone booth had no money so he had to make a collect caw.	caw	homophonic	call	caw	homophonic	call	collect call
en_1599	Two astronauts who were dating put an end to it because they both needed their space.	Two astronauts who were dating put an end to it because they both needed their space.	space	homographic	space	space	homographic	distance	needed their space
en_160	"Take me to the dance, Tom bawled."	"Take me to the dance, he bawled."	bawled	homophonic	ball	bawled	homophonic	bald	take me to the dance
en_1611	The pistol of a flower is its only protections against insects.	The pistol of a flower is its only protections against insects.	pistol	homophonic	pistil	pistol	homophonic	pistil	protection against insects
en_1615	If you eat soup that's nine days old you will get bad broth.	If you eat soup that's nine days old you will get bad broth.	broth	homophonic	breath	broth	homophonic	brought	get bad broth
en_1621	The race dogs got a bad case of the fleas - they had to be scratched.	The race dogs got a bad case of the fleas-they had to be scratched.	scratched	homographic	scratched	scratched	homographic	withdrawn	had to be scratched
en_1622	"I made a batch of fish eye soup, it should see me through the week."	"I made a batch of fish eye soup, it should see me through the week."	see	homographic	see	see	homophonic	sea	see me through
en_1626	"Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion."	"Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion."	humerus	homophonic	humorous	humerus	homophonic	humorous	slipped on a banana peel
en_1644	"I started to work at a seafood buffet, but then I pulled a mussel."	"I started to work at a seafood buffet, but then I pulled a mussel."	mussel	homophonic	muscle	mussel	homophonic	muscle	pulled a muscle
en_1647	A boiled egg in the morning is hard to beat.	A boiled egg in the morning is hard to beat.	beat	homographic	beat	beat	homographic	defeat	hard to beat
en_1649	Swimmers have to be careful not to get into deep trouble.	Swimmers have to be careful not to get into deep trouble.	deep	homographic	deep	deep	homographic	serious	get into deep trouble
en_1660	The self - conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer.	The self-conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer.	compliment	homophonic	complement	compliment	homophonic	complement	compliment her
en_1669	Patience is a virtue heavy in wait	Patience is a virtue heavy in wait	wait	homophonic	weight	wait	homophonic	weight	a virtue
en_167	We don’t read palms; we wave them.	We don’t read palms; we wave them.	palms	homographic	palms	wave	homophonic	waive	wave them
en_1672	The boating store had its best sail ever.	The boating store had its best sail ever.	sail	homophonic	sale	sail	homophonic	sale	best sale ever
en_1674	"''Europe needs more self - restraint,'' said Tom continently."	"Europe needs more self-restraint, he said continently."	continently	homophonic	continent	continently	homophonic	continence	self-restraint
en_1688	OLD BANKERS never die they just lose interest.	Old bankers never die they just lose interest.	interest	homographic	interest	interest	homographic	enthusiasm	lose interest
en_169	Sometimes a pregnancy is so long it seems like a maternity.	Sometimes a pregnancy is so long it seems like a maternity.	maternity	homophonic	eternity	maternity	homophonic	eternity	seems like an eternity
en_1701	"She was only a Fireman's daughter, but she's really going to blazes."	"She was only a Fireman's daughter, but she's really going to blazes."	blazes	homographic	blazes	blazes	homographic	hell	going to blazes
en_1705	A discussion of digging a new mine shaft was too deep for him.	A discussion of digging a new mine shaft was too deep for him.	deep	homographic	deep	deep	homographic	complex	too deep for
en_1711	If you're looking for oranges on an apple tree you will have a fruitless search.	If you're looking for oranges on an apple tree you will have a fruitless search.	fruitless	homographic	fruitless	fruitless	homographic	unsuccessful	fruitless search
en_1716	When bottled water is cheap it's called a liquidation sale.	When bottled water is cheap it's called a liquidation sale.	liquidation	homophonic	liquid	liquidation	homographic	liquid	liquidation sale
en_1721	"OLD GARDENERS never die, they just get uprooted."	"Old gardeners never die, they just get uprooted."	uprooted	homographic	uprooted	uprooted	homographic	displaced	get uprooted
en_1722	The satellite went into orbit on January 1st causing a new year's revolution.	The satellite went into orbit on January 1st causing a new year's revolution.	revolution	homophonic	resolution	revolution	homographic	uprising	new year's revolution
en_1724	Practice safe eating – always use condiments.	Practice safe eating – always use condiments.	condiments	homophonic	condoms	condiments	homophonic	condoms	practice safe eating
en_1726	Wal - Mart isn't the only saving place!	Wal-Mart isn't the only saving place!	saving	homographic	saving	saving	homographic	savings	the only saving place
en_1727	"I went out for a run this morning and tripped over, I could have been wearing the wrong size shoes, I haven't seen the footage yet."	"I went out for a run this morning and tripped over, I could have been wearing the wrong size shoes, I haven't seen the footage yet."	footage	homophonic	foot	footage	homophonic	foot	wrong size shoes
en_1733	Some people don't have the Vegas idea of how to quit gambling.	Some people don't have the Vegas idea of how to quit gambling.	vegas	homophonic	vaguest	Vegas	homophonic	vaguest	vaguest idea
en_1739	Those who make sponges get very absorbed in their work.	Those who make sponges get very absorbed in their work.	absorbed	homographic	absorbed	absorbed	homographic	engaged	get absorbed in their work
en_178	"In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan."	"In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan."	yuan	homophonic	yawn	yuan	homophonic	yawn	pay attention
en_1783	The mushroom is a vegetable of high morel standing.	The mushroom is a vegetable of high morel standing.	morel	homophonic	moral	morel	homophonic	moral	moral standing
en_1788	She became an art dealer because she wanted more Monet.	She became an art dealer because she wanted more Monet.	monet	homophonic	money	Monet	homophonic	money	more money
en_1794	"She was only a Pitcher's daughter, but you should have seen her curves."	"She was only a Pitcher's daughter, but you should have seen her curves."	curves	homographic	curves	curves	homographic	attractive figure	seen her curves
en_1796	"I saw a beaver movie last night, it was the best dam movie I've ever seen."	"I saw a beaver movie last night, it was the best dam movie I've ever seen."	dam	homophonic	damn	dam	homophonic	damn	best dam movie
en_1807	"''I've stuck a pin through my nose,'' said Tom punctually."	"I've stuck a pin through my nose, he said punctually."	punctually	homophonic	puncture	punctually	homophonic	puncturally	stuck a pin
en_1819	''Have you seen my collection of ancient Chinese artifacts?'' asked Tom charmingly.	Have you seen my collection of ancient Chinese artifacts? he asked charmingly.	charmingly	homophonic	charm	charmingly	homophonic	charm	charmingly asked
en_1826	"That makes 144, said Tom, grossly."	"That makes 144, he said, grossly."	grossly	homophonic	gross	grossly	homophonic	gross	grossly
en_1835	"Two brothers collaborated on haunted stories, but one was a ghost writer."	"Two brothers collaborated on haunted stories, but one was a ghost writer."	ghost	homographic	ghost	ghost	homographic	a spirit of a dead person	ghost writer
en_1839	The inept mathematician couldn't count on his friends.	The inept mathematician couldn't count on his friends.	count	homographic	count	count	homographic	rely	count on
en_1849	Those who have icicles keep a stiff upper drip.	Those who have icicles keep a stiff upper drip.	drip	homophonic	lip	drip	homophonic	lip	stiff upper lip
en_1850	"If you want those ashes, you'll have to urn them."	"If you want those ashes, you'll have to urn them."	urn	homophonic	earn	urn	homophonic	earn	earn them
en_186	"I fought with Geronimo, said Tom bravely."	"I fought with Geronimo, he said bravely."	bravely	homophonic	brave	fought	homophonic	fort	fought with Geronimo
en_1865	"The bargain store promised a free abacus with every purchase, but I wouldn't count on it."	"The bargain store promised a free abacus with every purchase, but I wouldn't count on it."	count	homographic	count	count	homophonic	count	count on it
en_187	"''Now I can do some painting,'' said Tom easily."	"Now I can do some painting, he said easily."	easily	homophonic	easil	easily	homophonic	easel-ly	do some painting
en_1877	Would you like some soda in your whiskey? asked Tom caustically.	Would you like some soda in your whiskey? he asked caustically.	caustically	homophonic	caustic	caustically	homographic	corrosively	soda in whiskey
en_1883	A group called the Balloons sings pop music.	A group called the Balloons sings pop music.	pop	homographic	pop	Balloons	homographic	swells	sings pop
en_1895	My friend gave me a book about puns for my birthday and I loved it. It was two meaningful.	My friend gave me a book about puns for my birthday and I loved it. It was two meaningful.	two	homophonic	too	two	homophonic	too	too meaningful
en_1898	Did you hear about the new pinata? It's a huge hit.	Did you hear about the new pinata? It's a huge hit.	hit	homographic	hit	hit	homographic	success	huge hit
en_1906	A lingerie thief gave a police officer the slip.	A lingerie thief gave a police officer the slip.	slip	homographic	slip	slip	homographic	escape	gave the slip
en_191	His wife left him saying she was going home to mutter.	His wife left him saying she was going home to mutter.	mutter	homophonic	mother	mutter	homophonic	mother	going home to mother
